,0,1,2,3,4,5,6
0,Subject,Date_modified,5%,25%,50%,75%,95%
1,MMCB-0000-1301,1465400164.0,148.0,233.0,331.0,434.0,585.0
2,FPWB-0001-0309,1466796480.0,193.60000000000002,213.5,225.0,411.5,509.59999999999991
3,MMCB-0000-150Z,1465400434.0,89.0,156.0,254.0,295.0,369.0
4,MMCB-0000-126Q,1465400922.0,82.0,140.0,192.0,239.0,340.0
5,FCLR-GP17-435H,1477957947.0,125.0,176.0,220.0,275.0,361.0
6,FPWB-0001-1612,1466795573.0,134.0,195.0,257.0,342.0,484.0
7,MESB-0008-712Q,1465400171.0,65.0,121.0,202.5,293.0,363.0
8,MMCB-0000-137N,1465401028.0,84.0,147.0,201.0,252.0,348.0
9,MCLR-CD00-0262,1465397183.0,180.0,253.0,322.0,407.0,542.0
10,MMCB-0000-117P,1465400709.0,142.0,221.75,306.0,398.0,536.0
11,MESB-0009-662M,1465401003.0,47.0,68.0,96.0,128.0,181.0
12,FPWB-0000-731U,1465393832.0,138.0,208.0,278.0,375.0,554.0
13,MMCB-0000-273P,1465400591.0,128.0,193.0,219.0,258.0,336.0
14,FGPC-0000-5279,1465399252.0,125.70000000000002,193.0,266.0,360.0,520.30000000000018
15,FPWB-0000-865H,1465400122.0,139.0,214.0,294.0,399.0,592.0
16,FPWB-0001-2420,1466812306.0,140.0,205.0,274.0,363.0,499.0
17,FRCH-0000-006Y,1465398943.0,164.0,308.0,354.0,430.0,546.0
18,MESB-0009-644K,1465400731.0,51.0,76.0,107.0,139.0,197.0
19,MRCH-0000-002R,1465397727.0,140.0,281.0,330.0,398.0,517.0
20,FPWB-0000-957C,1465399252.0,125.0,191.0,264.0,362.0,546.29999999999927
21,MMCB-0000-196J,1468184101.0,128.0,183.0,239.0,316.25,456.04999999999973
22,MESB-0008-790M,1465400507.0,100.0,189.0,221.0,262.0,352.0
23,MMCB-0000-232V,1465400720.0,97.25,166.0,215.0,276.0,410.0
24,FD2W-0000-232I,1465399250.0,128.0,279.0,327.0,390.0,505.0
25,MESB-0009-561Q,1465399517.0,127.0,260.0,319.0,387.0,505.0
26,FGPC-1PR1-SON4,1466795503.0,143.0,214.0,285.0,380.0,532.0
27,MGPC-EJAM-YLKG,1473678085.0,157.0,231.0,301.0,377.0,503.94999999999709
28,FRMR-00SC-714V,1466803135.0,143.0,208.0,272.0,354.0,471.0
29,FRMR-00JM-865U,1466833078.0,148.0,216.0,288.0,377.0,522.0
30,MESB-0009-832L,1466802966.0,129.0,189.0,255.0,341.0,476.0
31,MGPC-0000-617T,1466795669.0,134.0,196.0,264.0,350.0,483.0
32,FPWB-0000-873K,1466829699.0,127.0,186.0,250.0,333.0,458.0
33,MESB-0009-715J,1465399927.0,83.0,162.0,211.0,251.0,331.0
34,MMCB-0005-8481,1466803139.0,134.0,199.0,268.0,361.0,518.0
35,MMCB-0000-323S,1465400756.0,73.0,132.0,249.0,297.0,363.0
36,MCLR-GP04-8630,1477955873.0,127.0,182.0,235.0,299.0,400.89999999999964
37,MMCB-0000-229I,1465400447.0,112.0,168.0,228.0,317.0,477.0
38,MMCB-0000-184O,1465401018.0,65.0,111.0,156.0,247.0,310.0
39,MCLR-NA20-400K,1477944505.0,128.0,191.0,253.5,331.0,445.44999999999982
40,FPWB-0001-1711,1466829689.0,141.0,210.0,279.0,363.0,502.0
41,MMCB-0007-564B,1465399249.0,122.0,267.0,335.0,422.0,543.0
42,FPWB-0001-249M,1470174825.0,142.0,214.0,290.0,381.0,508.59999999999945
43,FPWB-0001-137T,1465399790.0,131.0,201.0,274.0,373.0,558.0
44,MMCB-0000-234R,1465400909.0,89.400000000000034,139.0,184.0,268.0,451.59999999999945
45,MMCB-0000-119L,1465400593.0,114.0,183.0,232.0,298.0,457.0
46,FPWB-0001-1042,1465399758.0,133.0,193.0,261.0,349.0,519.0
47,MESB-0008-694G,1465398930.0,137.0,270.0,326.0,400.0,516.0
48,FO1V-0000-121F,1465400374.0,76.0,132.0,206.0,271.0,342.29999999999927
49,MMCB-0000-318J,1465400450.0,65.0,115.0,174.0,287.0,358.0
50,FGPC-JFHQ-PS5C,1466795824.0,136.0,196.0,261.0,345.0,482.0
51,MMCB-0000-107Q,1465400989.0,75.0,139.0,195.0,241.0,343.29999999999973
52,MMCB-0000-338H,1465400136.0,68.0,124.0,208.0,293.0,365.0
53,FRMR-0070-444H,1466796004.0,132.0,190.0,253.0,334.0,473.0
54,MRMR-0011-266B,1466795999.0,142.65000000000009,207.0,275.0,358.0,486.0
55,MRMR-0047-446X,1466807134.0,139.0,203.0,269.0,353.0,474.0
56,FPWB-0000-429L,1465399872.0,136.0,202.25,270.0,365.75,557.15000000000009
57,FCLR-GP22-0112,1477957426.0,128.0,183.0,236.0,303.0,400.0
58,FPWB-0000-946F,1465395917.0,125.0,186.0,256.0,346.0,513.0
59,FGPC-0000-555A,1465399519.0,136.0,198.0,268.0,360.0,529.0
60,MMCB-0000-122Y,1468183955.0,124.0,181.0,243.0,335.0,478.5
61,FGPC-INSR-YI4C,1466802961.0,131.0,202.0,282.0,383.0,537.59999999999854
62,MESB-0009-9379,1470175372.0,144.0,221.0,312.0,419.0,582.0
63,MRMR-0073-177W,1466812605.0,140.0,205.0,275.0,355.0,474.0
64,MESB-0008-534O,1465399843.0,81.0,157.0,204.0,262.0,339.0
65,FRMR-00DM-853C,1466803275.0,132.0,192.0,257.0,342.0,480.0
66,MMCB-0000-145Q,1465397722.0,176.0,310.0,414.0,521.0,705.0
67,FPWB-0001-144Y,1466812396.0,129.0,191.0,255.0,340.0,472.0
68,FRMR-00SA-876L,1466796004.0,133.0,193.0,257.0,344.0,483.0
69,MMCB-0000-271T,1465399999.0,117.0,192.0,219.0,260.0,343.0
70,MRMR-0060-231F,1466803139.0,143.0,215.0,292.0,384.0,527.0
71,MESB-0009-771L,1465400922.0,50.0,76.0,104.0,139.0,202.0
72,FPWB-0001-075V,1465400142.0,138.0,212.5,291.0,402.5,600.69999999999959
73,MMCB-0000-277H,1465399770.0,113.65000000000003,194.0,220.0,260.0,343.0
74,FCLR-NA14-661L,1465400438.0,226.0,283.0,326.0,394.0,507.0
75,MESB-0009-648C,1465400940.0,48.0,73.0,102.0,135.0,189.0
76,FPWB-0001-2230,1470175311.0,151.0,236.0,330.0,445.0,635.14999999999964
77,MMCB-0004-9448,1465399734.0,140.0,288.0,333.0,397.5,516.0
78,MMCB-0000-2010,1465400740.0,84.0,148.0,200.0,251.0,355.0
79,FGPC-0000-5584,1465399528.0,133.0,192.0,260.0,347.0,519.0
80,FRMR-00KK-6426,1466796284.0,132.0,192.0,252.0,332.0,455.0
81,MGPC-DR58-TYE8,1473678753.0,153.0,225.0,297.0,378.0,505.0
82,MESB-0008-7796,1465398957.0,125.0,255.0,321.0,397.0,515.0
83,MMCB-0000-203W,1465400288.0,136.0,210.0,294.0,394.0,537.0
84,FPWB-0001-1331,1465395220.0,110.0,156.0,188.0,228.0,296.0
85,MESB-0009-613P,1466802980.0,145.0,214.0,279.0,361.0,483.0
86,FPWB-0001-315V,1483844952.0,133.0,200.0,271.0,369.0,530.0
87,FCLR-ND29-1497,1465397718.0,188.0,287.0,335.0,409.0,523.0
88,MMCB-0000-306O,1465399246.0,81.0,151.0,205.0,240.0,317.0
89,MMCB-0000-317L,1465400647.0,60.0,110.0,171.0,285.0,355.0
90,MESB-0008-676E,1465400194.0,128.90000000000003,256.0,320.0,388.0,503.0
91,FPWB-0001-088O,1465399376.0,117.0,179.0,243.0,334.0,488.0
92,MESB-0008-703P,1465400887.0,53.0,79.0,112.0,146.0,207.0
93,MESB-0009-712P,1465400965.0,75.0,137.0,186.0,245.0,307.0
94,MRMR-0080-829K,1466833188.0,141.0,210.0,280.0,362.0,486.35000000000036
95,MMCB-0000-160Y,1465399941.0,113.0,188.0,239.0,332.0,581.89999999999964
96,MESB-0009-6789,1465400305.0,61.0,107.0,161.0,209.0,292.0
97,MMCB-0000-291R,1465400665.0,108.0,193.0,217.0,258.0,336.0
98,MPWC-MO0L-BZ3O,1486657668.0,128.0,190.0,252.0,332.0,449.0
99,MMCB-0000-274N,1465399744.0,115.0,195.0,223.0,265.0,349.0
100,FCLR-GP20-399A,1477955789.0,129.0,184.0,239.0,306.0,412.0
101,FPWB-0001-4210,1483844878.0,136.0,208.0,287.0,386.0,541.5
102,MMCB-0004-645C,1465400318.0,125.0,261.0,319.0,381.0,493.0
103,FGPC-0000-453G,1466795735.0,131.0,189.0,250.0,329.0,460.0
104,FGPC-0000-6079,1466795663.0,132.0,196.0,264.0,354.0,492.0
105,FW2F-0000-154C,1465400517.0,111.0,194.0,219.0,259.0,343.0
106,FGPC-0000-545B,1465398187.0,136.0,202.0,274.0,364.0,531.0
107,FPWB-0001-0341,1466806778.0,132.0,193.0,252.0,330.0,464.0
108,FCLR-NA23-6876,1465400739.0,90.0,199.0,287.0,328.0,414.0
109,MMCB-0006-383G,1466802389.0,138.0,209.0,285.0,382.0,532.0
110,FCLR-GP01-2121,1477955702.0,125.0,180.0,233.0,298.0,399.0
111,FPWB-0000-9986,1465396553.0,107.0,154.0,188.0,230.0,303.0
112,MMCB-0000-238J,1465400745.0,109.65000000000001,192.0,216.0,253.0,331.34999999999991
113,MESB-0008-518I,1465400807.0,58.0,100.0,150.0,199.75,287.0
114,MCLR-ND12-099Y,1465398594.0,181.0,284.0,331.0,403.0,517.0
115,MMCB-0000-209K,1465400602.0,121.0,182.0,252.0,353.0,495.0
116,MCLR-NA03-037C,1465396589.0,181.0,259.0,331.0,413.0,543.0
117,MESB-0009-721Q,1465398943.0,134.30000000000007,350.0,407.0,466.0,543.0
118,FPWB-0000-721V,1473677778.0,154.0,225.0,297.0,377.0,508.0
119,MMCB-0007-5782,1465398576.0,135.0,212.0,291.0,394.0,567.0
120,FCLR-NA17-435H,1477944517.0,121.0,179.0,232.0,298.0,403.0
121,MCLR-NA17-4352,1477537446.0,125.0,176.0,220.0,275.0,361.0
122,MMCB-0008-5476,1465399916.0,159.0,294.0,335.0,402.0,510.14999999999964
123,FRMR-00AG-860T,1466829890.0,152.0,225.0,296.0,386.0,532.0
124,MMCB-0006-306I,1466802822.0,133.0,197.0,268.0,356.0,493.0
125,MESB-0009-750P,1465398160.0,181.0,394.0,439.0,499.0,570.0
126,MMCB-0006-283I,1466807135.0,129.0,190.0,255.0,345.0,494.0
127,MCLR-CD00-0270,1465397115.0,166.0,237.0,307.0,397.0,536.0
128,MCLR-NA23-688P,1465399580.0,243.0,289.0,339.0,418.0,528.0
129,FRMR-00NC-7632,1466807070.0,147.0,216.0,286.0,377.0,528.0
130,FCLR-NA08-753E,1477944394.0,128.0,187.0,246.0,316.0,428.0
131,MMCB-0000-331V,1465399747.0,76.0,136.0,263.0,303.0,376.0
132,MESB-0009-773H,1465399542.0,159.0,383.0,426.0,483.0,561.0
133,FGPC-0000-5493,1465398933.0,141.0,209.0,281.0,376.0,543.0
134,MCLR-NA09-677Q,1465398212.0,170.0,282.0,327.0,393.0,507.0
135,MCLR-NA22-011N,1477537212.0,128.0,183.0,236.0,303.0,400.0
136,MGPC-0000-597N,1466802618.0,127.0,190.0,255.0,341.0,469.34999999999854
137,MMCB-0000-141Y,1468184068.0,140.0,207.0,276.0,374.0,541.0
138,MCLR-GP20-7327,1477957831.0,127.0,184.0,238.0,305.0,409.0
139,MGPC-GH7L-FXWO,1470175417.0,143.45000000000002,234.0,321.0,445.0,639.09999999999945
140,MMCB-0000-1210,1465400000.0,94.0,165.0,262.0,303.0,383.0
141,FRMR-00JD-7770,1466834711.0,151.0,227.0,301.0,392.0,529.0
142,MESB-0009-529E,1465399769.0,67.0,121.0,181.0,244.0,311.0
143,MESB-0009-534N,1465399975.0,134.0,245.0,317.0,387.0,506.0
144,FGPR-UU81-1TA5,1466806921.0,135.0,199.0,269.0,359.0,502.0
145,MCLR-NA20-7327,1477946171.0,127.5,187.0,249.0,323.5,437.0
146,FPWB-0001-047U,1465395220.0,111.0,153.0,186.0,227.0,296.0
147,FPWB-0001-2412,1466796237.0,139.0,197.0,254.0,331.0,448.0
148,MRMR-0052-358X,1466795660.0,141.0,207.0,279.0,370.0,514.0
149,MMCB-0000-176L,1465400812.0,71.650000000000034,128.0,205.0,271.0,342.0
150,MMCB-0000-289C,1465401039.0,66.0,151.0,199.0,226.0,293.0
151,MMCB-0009-732C,1466802499.0,134.0,202.0,272.0,361.0,507.95000000000073
152,MMCB-0000-113X,1465400640.0,76.0,138.0,194.0,243.0,348.59999999999945
153,MMCB-0000-105U,1465400730.0,71.0,126.0,190.0,277.0,351.0
154,FD11-0000-3092,1465398190.0,140.0,282.0,349.0,439.0,553.64999999999782
155,MMCB-0005-217I,1465397712.0,138.0,282.0,347.0,431.0,547.0
156,FPWB-0001-218R,1486654881.0,127.0,188.0,254.0,338.5,468.0
157,MCLR-NA10-798R,1465397170.0,192.0,270.0,343.0,428.0,560.79999999999927
158,FGPC-0000-623F,1466795842.0,129.0,190.0,254.0,337.0,465.0
159,FCLR-NA20-399A,1477944435.0,127.0,187.0,249.0,323.0,436.0
160,FRMR-00TS-8464,1466802966.0,141.0,202.0,262.0,335.0,453.0
161,MESB-0008-7986,1473678888.0,155.0,225.0,296.0,378.0,507.0
162,MMCB-0000-293N,1465400693.0,98.0,190.0,217.0,254.0,329.0
163,FGPC-0000-633E,1466802804.0,188.0,270.0,343.0,428.0,558.0
164,MMCB-0001-9269,1466803136.0,147.0,222.0,297.0,391.0,540.69999999999891
165,FPWB-0000-981L,1466795873.0,135.0,190.0,243.0,308.0,412.0
166,MMCB-0000-225Q,1465400793.0,71.0,137.0,193.0,238.0,330.0
167,FRMR-00ID-7962,1466812429.0,143.0,212.0,284.0,373.0,510.0
168,MESB-0009-785C,1466796205.0,136.0,205.0,276.0,367.0,507.0
169,FPWB-0001-1315,1465398589.0,125.0,196.0,270.0,369.0,535.0
170,MESB-0008-731Q,1466807092.0,138.0,205.0,275.0,360.0,489.0
171,FK1E-0000-332T,1465398593.0,175.0,282.0,327.0,397.0,513.0
172,FPWB-0001-0820,1465398621.0,144.0,210.0,279.0,378.0,564.0
173,MESB-0009-550T,1465399520.0,136.0,272.0,324.0,393.0,511.0
174,MGPC-FAK3-TUNG,1466796306.0,117.0,167.0,222.0,288.0,392.0
175,FCLR-NA20-745F,1477944459.0,127.0,189.0,252.0,324.0,434.0
176,MESB-0009-548E,1465400553.0,70.0,127.0,202.0,292.0,356.0
177,FPWB-0001-255T,1466829808.0,138.0,201.0,267.0,353.0,491.0
178,FPWB-0001-179L,1466802473.0,137.0,201.0,265.0,345.0,475.0
179,FPWB-0001-2404,1473678427.0,149.0,221.0,293.0,375.0,501.0
180,FPWB-0001-135X,1465397737.0,128.55000000000001,191.0,255.0,344.0,504.89999999999964
181,MGPC-G909-K71S,1483844439.0,137.0,208.0,290.0,389.0,546.0
182,FPWB-0001-290Z,1466795943.0,137.0,201.0,271.0,363.0,505.0
183,MCLR-NA14-8216,1465398589.0,174.0,282.0,329.0,394.0,507.0
184,FRMR-0081-1987,1466812558.0,130.0,190.0,257.0,344.0,482.0
185,MESB-0009-743K,1465398957.0,170.0,386.0,429.0,485.0,563.0
186,MRMR-0080-518T,1466812501.0,143.0,213.0,285.0,381.0,524.0
187,FRMR-00MM-839J,1466832997.0,146.0,215.0,286.0,379.0,521.0
188,MMCB-0000-227M,1465400507.0,103.0,153.0,204.0,284.0,426.0
189,MMCB-0000-190V,1468184012.0,132.0,198.0,266.0,357.25,520.0
190,FCLR-GP20-9287,1477955747.0,129.0,185.0,240.0,307.0,408.0
191,FPWB-0001-254V,1466795944.0,138.0,201.0,267.0,352.0,482.0
192,MMCB-0000-142W,1465400560.0,72.0,125.0,190.0,278.0,354.0
193,FGPC-0000-492E,1465398596.0,121.0,185.0,261.0,360.0,534.0
194,FPWB-0001-2032,1486657376.0,126.0,186.0,247.0,326.0,449.0
195,FPWB-0001-309O,1466803287.0,123.0,179.0,232.0,299.0,403.0
196,MMCB-0000-180W,1465401044.0,62.700000000000017,106.0,154.0,250.0,314.0
197,MESB-0009-634L,1465401005.0,49.0,70.0,99.0,133.0,185.5
198,FGPC-0000-4990,1465399527.0,121.0,191.0,274.0,384.0,587.60000000000036
199,MESB-0009-564K,1465400916.0,49.0,74.0,105.0,139.0,198.0
200,FGPC-D4IR-UUKP,1468183940.0,136.75,213.0,295.0,396.0,574.0
201,FPWB-0000-772O,1465395220.0,104.0,152.0,186.0,227.0,297.0
202,MESB-0008-634M,1466803154.0,136.85000000000002,203.0,275.0,361.0,502.0
203,MMCB-0006-5981,1466829495.0,138.0,207.0,279.0,376.0,537.0
204,FPWB-0001-1208,1465399047.0,130.0,187.0,249.0,338.0,491.14999999999964
205,MMCB-0000-185M,1465400931.0,72.0,136.0,193.0,237.0,340.84999999999991
206,MMCB-0000-312V,1465399027.0,86.0,179.0,215.0,255.0,342.29999999999927
207,MMCB-0000-202Y,1465399734.0,145.0,230.0,329.0,431.0,578.0
208,MMCB-0006-7945,1465400126.0,140.0,283.0,329.0,391.0,507.0
209,MCLR-GP20-400K,1477955818.0,129.0,186.0,245.0,312.0,421.0
210,MMCB-0000-197H,1465400914.0,68.0,130.0,188.0,230.0,323.0
211,MMCB-0009-233K,1466807023.0,133.0,194.0,258.0,342.0,471.0
212,MMCB-0000-2002,1465401000.0,64.0,123.0,182.0,226.0,316.69999999999982
213,MMCB-0008-858X,1466795447.0,135.0,197.0,265.0,355.0,505.0
214,MESB-0009-568C,1465399268.0,68.0,137.0,266.0,306.0,385.0
215,FRCH-0000-0034,1465399944.0,144.05000000000007,288.0,330.0,397.0,507.0
